mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
573,842,0.0,16.414999,75.318,31.338,8.658,7.24,DLR
573,850,0.0,3.705,6.579,4.892,1.666,0.449,DLR
573,851,0.0,9.424,14.534,7.366,4.741,1.159,DLR
573,853,0.0,5.492,15.091,2.276,1.209,0.507,DLR
573,854,0.0,0.585,2.97,0.915,0.086,0.0,DLR
573,855,0.0,1.16,5.523,1.6620001,0.0,0.0,DLR
573,856,0.0,0.024,0.305,0.134,0.043,0.0,DLR
573,857,0.0,0.04,0.648,0.251,0.047000002,0.023,DLR
573,858,0.0,47.92,127.066,70.294,32.638,5.842,DLR
573,859,0.076,0.699,1.966,1.031,0.879,0.025,DLR
573,860,0.0,48.991,100.863,44.358,23.367,4.385,DLR
573,861,0.0,3.0110002,4.774,2.881,0.213,0.116000004,DLR
573,862,0.0,37.895,70.474,31.1,10.24,4.634,DLR
573,864,0.0,14.148,34.856,10.2960005,3.3,0.639,DLR
573,865,0.0,28.789,60.597,23.67,14.92,3.057,DLR
573,866,0.0,1.04,12.541,3.376,0.55,0.0,DLR
573,867,0.0,0.949,7.392,4.962,1.031,0.13,DLR
573,882,0.0,6.765,22.921,7.97,4.925,2.919,DLR
573,883,0.0,27.421,20.336,16.159,6.913,2.655,DLR
573,884,16.677,723.875,2130.504,870.83,415.419,123.367,DLR
573,886,0.54,4.707,27.316,9.575,4.142,0.961,DLR
573,887,0.206,4.693,11.893,7.546,3.4819999,1.099,DLR
573,888,0.38099998,8.916,15.862,5.974,2.468,1.747,DLR
573,889,2.105,8.562,10.641,20.721,12.077,2.959,DLR
573,890,0.062,3.042,9.14,4.601,1.168,0.174,DLR
573,891,0.0,1.015,2.155,0.916,0.70600003,0.0,DLR
573,893,0.13,1.52,6.344,3.76,0.963,0.75699997,DLR
573,894,0.558,0.586,5.725,2.639,2.04,0.553,DLR
573,895,0.146,2.77,15.095,8.909,4.6219997,0.832,DLR
573,940,0.0,0.075,0.0,0.0,0.0,0.0,DLR
719,504,0.0,80.607,398.878,355.03,284.591,134.376,DLR
719,523,0.0,19.973,77.754,68.436,33.579,7.9179997,DLR
719,533,0.0,11.557,172.387,152.021,43.733,11.353,DLR
719,538,0.0,20.075,140.42,130.873,61.795002,19.169,DLR
719,559,0.0,18.721,117.279,90.162,37.404,12.069,DLR
719,573,0.0,216.683,770.664,545.65,329.6,92.091,DLR
719,749,0.0,15.452,57.256,56.588,45.396,28.907,DLR
719,750,0.0,36.689,216.259,140.864,99.125,56.542,DLR
719,757,0.0,21.468,79.494,47.738,29.287,30.941,DLR
719,842,1.542,75.329,443.801,213.985,52.783,25.109,DLR
719,850,1.55,32.094,202.978,167.695,83.402,44.305,DLR
719,851,2.74,66.649,411.183,336.97,131.616,45.375,DLR
719,853,2.691,157.173,597.698,257.851,121.887,64.296,DLR
719,854,0.6,16.505,68.266,58.403,15.142,2.599,DLR
719,855,0.254,1.23,22.438,14.706,3.569,0.565,DLR
719,856,0.085999995,6.069,37.11,30.577,10.582,2.16,DLR
719,857,0.036,4.143,34.534,33.551,8.605,2.031,DLR
719,858,4.0690002,15.335,76.324,94.827,27.101,10.297,DLR
719,859,0.016,22.566,91.424,83.104004,52.086,18.335001,DLR
719,860,0.09,0.662,8.3949995,7.48,1.928,1.165,DLR
719,861,0.18699999,26.741,77.897,62.455,13.416,2.526,DLR
719,862,0.943,8.685,46.386,39.649,7.327,1.778,DLR
719,864,0.001,0.0,1.311,0.314,0.115,0.026,DLR
719,865,0.0,1.757,24.887,23.817,4.692,0.951,DLR
719,866,0.305,35.779,122.522,47.909,12.196,9.062,DLR
719,867,1.466,43.59,285.559,285.159,128.688,46.099,DLR
719,879,0.451,23.281,211.902,75.377,16.492,2.959,DLR
719,882,0.21700001,2.464,13.001,11.593,2.9329998,1.07,DLR
719,883,1.1620001,3.325,24.845,24.817,1.966,0.12,DLR
719,884,0.0,10.447,96.438,66.736,39.531,12.313,DLR
719,886,0.0,5.011,1.211,0.489,0.617,0.0,DLR
719,887,0.0,3.204,0.966,0.138,0.282,0.0,DLR
719,888,0.0,2.795,0.593,0.2,0.444,0.0,DLR
719,889,0.0,68.459,191.977,160.628,80.433,33.789,DLR
719,890,0.0,2.838,0.318,0.088,0.11,0.0,DLR
719,891,0.0,0.28,0.0,0.0,0.034,0.0,DLR
719,893,0.0,0.482,0.219,0.031999998,0.169,0.0,DLR
719,894,0.0,1.118,0.037,0.0,0.062,0.0,DLR
719,895,0.0,1.292,0.412,0.154,0.513,0.0,DLR
719,897,2.219,27.333,74.731,57.457,19.318,5.631,DLR
719,898,0.0,4.403,29.774,26.918,10.938,2.433,DLR
719,928,0.198,3.435,25.787,13.315001,3.761,0.468,DLR
719,940,1.829,64.109,266.523,199.316,59.273,11.96,DLR
749,504,0.0,15.116,74.109,13.457,9.211,3.473,DLR
749,523,0.0,1.444,5.721,3.181,4.31,1.3740001,DLR
749,533,0.0,1.658,16.065,12.666,4.7660003,1.6899999,DLR
749,538,0.0,4.674,10.984,6.6480002,5.252,0.824,DLR
749,559,0.0,0.943,12.174,5.546,3.853,4.351,DLR
749,573,0.0,17.893,55.264,26.492,17.41,15.704,DLR
749,719,0.0,20.33,60.949,24.265,24.023,7.304,DLR
749,750,0.0,0.0,11.672,3.064,3.918,0.122,DLR
749,757,0.0,15.321,89.809,59.074,24.682,10.231,DLR
749,860,0.0,0.519,2.685,0.331,0.451,0.772,DLR
749,862,0.0,0.0,6.066,3.033,0.483,0.016,DLR
749,864,0.0,2.55,2.424,0.404,0.0,0.0,DLR
749,866,0.0,4.56,1.316,0.347,0.0,0.0,DLR
749,879,0.0,0.117,1.335,1.095,0.149,0.0,DLR
749,883,0.0,0.435,1.955,1.719,1.202,2.377,DLR
749,884,0.0,15.034,88.091,27.453,26.878,11.51,DLR
749,886,0.0,1.0419999,2.738,0.97400004,1.977,0.065,DLR
749,887,0.0,0.97900003,1.153,0.274,1.01,3.201,DLR
749,888,0.0,1.635,1.498,0.571,0.755,0.997,DLR
749,889,0.0,5.24,13.04,19.06,6.708,4.893,DLR
749,890,0.0,0.0,2.432,0.948,1.109,0.0,DLR
749,893,0.0,0.82,1.262,0.648,0.206,0.0,DLR
749,894,0.0,2.23,0.962,0.554,0.23300001,0.0,DLR
749,895,0.0,1.8610001,1.809,0.986,0.25,0.0,DLR
749,940,0.0,0.0,2.293,0.601,0.445,0.0,DLR
750,504,0.0,8.795,77.088,15.413,4.6,3.016,DLR
750,523,0.0,0.0,4.212,3.9589999,1.797,0.0,DLR
750,533,0.0,0.0,3.825,2.1790001,8.305,3.1069999,DLR
750,559,0.0,1.401,2.738,0.546,5.464,5.91,DLR
750,573,0.0,8.177,21.616,7.108,7.598,5.6150002,DLR
750,719,0.0,76.832,271.72202,111.894,54.703,23.39,DLR
750,749,0.0,1.127,10.887,4.48,3.323,1.689,DLR
750,757,0.0,20.55,44.662,21.245,12.5199995,5.975,DLR
750,854,0.0,0.117,0.827,0.8,0.168,0.0,DLR
750,860,0.0,0.402,1.9860001,0.761,0.003,0.473,DLR
750,864,0.0,0.707,1.487,1.6700001,1.339,0.0,DLR
750,867,0.0,0.991,0.646,1.243,0.74300003,0.0,DLR
750,879,0.0,0.0,2.0180001,0.28,0.0,0.0,DLR
750,883,0.0,0.65500003,4.914,0.619,1.173,0.71500003,DLR
750,884,0.0,46.207,117.297,49.327,31.613,12.732,DLR
750,887,0.0,0.293,0.796,0.207,0.643,0.0,DLR
750,888,0.0,2.039,0.355,0.0,0.0,0.79899997,DLR
750,889,0.0,2.251,9.735,1.1470001,2.619,1.1800001,DLR
750,894,0.0,0.0,1.302,0.368,0.53400004,0.0,DLR
750,940,0.0,0.177,3.699,0.397,0.0,0.0,DLR
757,504,0.0,57.933,169.495,71.553,42.163002,12.642,DLR
757,523,0.0,8.131,17.773,12.729,8.139,1.863,DLR
757,533,0.0,9.741,56.575,49.298,12.137,2.298,DLR
757,538,0.0,6.609,21.62,17.434,14.523,3.316,DLR
757,559,0.0,8.859,26.825,14.07,9.601,3.102,DLR
757,573,0.0,148.755,260.425,131.455,101.712,26.538,DLR
757,719,0.0,54.108,268.383,103.502,24.365,4.384,DLR
757,749,0.0,31.374,112.765,26.325,17.452,7.73,DLR
757,750,0.0,8.349,46.548,37.148,14.993,12.455,DLR
757,850,0.0,0.0,0.0,0.0,0.0,0.013,DLR
757,851,0.0,0.0,0.062,0.137,0.058000002,0.123,DLR
757,853,0.0,0.0,0.0,0.0,0.0,0.026,DLR
757,859,0.0,0.0,0.005,0.026,0.001,0.013,DLR
757,862,0.0,0.286,0.0,0.0,0.0,0.0,DLR
757,866,0.0,0.0,0.0,0.0,0.018000001,0.0,DLR
757,867,0.0,0.0,0.033,0.14,0.028,0.0,DLR
757,883,0.0,0.034,0.0,0.0,0.0,0.0,DLR
757,884,0.0,2.381,2.679,1.194,2.721,0.947,DLR
757,889,0.0,26.035,61.01,45.222,24.064,14.953,DLR
842,504,0.0,2.557,11.364,4.965,5.098,2.315,DLR
842,513,0.0,79.222,551.757,261.088,121.128,42.176,DLR
842,523,0.0,0.0,6.399,4.965,3.6799998,0.0,DLR
842,533,0.0,0.675,26.847,19.559,4.311,2.01,DLR
842,538,0.0,0.691,26.358,23.727,10.535,1.883,DLR
842,559,0.0,0.0,16.621,10.493,4.981,0.0,DLR
842,573,0.0,9.243,41.242,34.181,24.319,12.272,DLR
842,719,0.58,29.788,299.271,171.998,92.049,39.864,DLR
842,757,0.0,0.0,0.0,0.0,0.042999998,0.141,DLR
842,842,0.0,0.017,0.0,0.0,0.119,0.0,DLR
842,850,0.36499998,5.365,130.031,85.876,47.29,26.862999,DLR
842,851,0.692,15.174,176.388,141.772,62.367,32.609,DLR
842,853,1.828,62.1,521.439,210.724,86.844,24.941,DLR
842,854,0.88,11.499,242.677,140.904,66.996,27.873,DLR
842,855,1.252,5.287,36.55,25.356,10.095,6.487,DLR
842,856,0.0,7.664,166.072,95.506,44.296,19.523,DLR
842,857,0.0,6.136,134.83,101.694,30.880001,10.944,DLR
842,858,0.0,2.417,79.29,73.648,40.405,11.892,DLR
842,859,0.0,1.188,32.881,22.152,9.115,5.562,DLR
842,860,0.258,16.335,260.736,147.473,63.931,15.636,DLR
842,861,0.07,18.624,151.533,113.597,44.987,11.18,DLR
842,862,0.0,35.025,479.516,282.316,119.059,39.512,DLR
842,864,0.0,11.897,122.647,57.437,19.035,1.537,DLR
842,865,0.0,2.162,186.705,116.254,23.107,8.815,DLR
842,866,0.0,1.808,23.758,12.752,8.46,3.884,DLR
842,867,0.004,6.85,169.577,131.799,64.419,24.705,DLR
842,879,1.755,33.76,545.149,205.466,88.637,31.859,DLR
842,882,0.0,0.981,20.168,13.094,6.061,1.513,DLR
842,883,0.0,3.951,84.111,54.784,28.131,7.593,DLR
842,884,0.19,2.8470001,29.854,17.547,13.534,4.476,DLR
842,886,0.0,0.56,50.803,32.943,16.72,0.0,DLR
842,887,0.0,1.301,9.877,5.511,7.443,1.218,DLR
842,888,0.0,0.892,10.369,3.766,9.099,0.0,DLR
842,890,0.0,2.047,10.631,7.293,6.786,0.86,DLR
842,891,0.0,0.0,2.614,4.135,4.408,0.0,DLR
842,893,0.0,0.584,8.644,3.723,2.602,0.484,DLR
842,894,0.0,0.96,6.55,8.262,4.815,1.456,DLR
842,895,0.161,5.015,14.564,5.861,3.981,1.033,DLR
842,897,4.955,34.884,211.961,146.206,70.409,45.647,DLR
842,898,6.21,16.737,91.697,76.738,39.127,18.435,DLR
842,928,1.154,3.739,80.218,39.583,20.286,7.451,DLR
