name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
910GCMDNRD,910GBARKING,0.90999997,2265,5.98,32687,7909,0.91499996,5066599993,overground,MTT
910GCROUCHH,910GBARKING,0,0,4408,39764,20803,20565,97533,overground,SUN
910GCROUCHH,910GBARKING,15927,36739,54232,69483,29169,9218,214768,overground,MTT
910GCRPNDPK,910GBARKING,0.138,0.223,0,0,0,0,0.361,overground,MTT
910GCSEAH,910GBARKING,0,0,0.072,0.035,0.133,0.073,0.334,overground,SUN
910GCSEAH,910GBARKING,0,0.002,0,0,0.462,0.139,0.603,overground,MTT
910GDALSKLD,910GBARKING,0.204,0.072,0.735,0,1355,0.232,2598,overground,MTT
910GEDMNGRN,910GBARKING,0,0,0.531,3941,2242,0.692,7486,overground,SUN
910GEDMNGRN,910GBARKING,3271,6782,7579,7697,3884,0.222,29435,overground,MTT
910GENFLDTN,910GBARKING,0,0,0.575,4323,1549,11719999,7634999899,overground,SUN
910GENFLDTN,910GBARKING,0.684,2575,5382,10172,40559998,0.19700001,2306599981,overground,MTT
910GFNCHLYR,910GBARKING,0,0,0,7566,2318,0.978,11689,overground,SUN
910GFNCHLYR,910GBARKING,2034,4215,4038,12193,3895,0.909,27284,overground,MTT
910GGNRSBRY,910GBARKING,0.007,0.28800002,0.278,0,0.053,0.116000004,0.742000024,overground,MTT
910GGOSPLOK,910GBARKING,0,0,57720003,22036,13476,8045,507650003,overground,SUN
910GGOSPLOK,910GBARKING,3306,10301001,27537,62757,16632,1965,122498001,overground,MTT
910GHACKNYC,910GBARKING,0,0,0.72,0,0.481,0.106,1307,overground,MTT
910GHAKNYNM,910GBARKING,0,0,0.016,0.012,0.31,0.198,0.536,overground,MTT
910GHARLSDN,910GBARKING,0,0,0.051,0.05,0.045,0.044,0.19,overground,SUN
910GHARLSDN,910GBARKING,0,0.072,0,0,0,0.02,0.092,overground,MTT
910GHGHMSPK,910GBARKING,2.49,4615,2383,0,1.32,0.266,11074,overground,MTT
910GHMPSTDH,910GBARKING,0,0,0.565,3544,2501,3717,11384,overground,SUN
910GHMPSTDH,910GBARKING,0.777,9043,12392,31394001,18.31,1973,73889001,overground,MTT
910GHOMRTON,910GBARKING,0,0.053,0.305,0,0,0.014,0.372,overground,MTT
910GHRGYGL,910GBARKING,0,0,36124,135908,85782,70773,340907,overground,SUN
910GHRGYGL,910GBARKING,34916,72631,69.59,167267,58089,19721,422214,overground,MTT
910GHROW,910GBARKING,0,0,0.006,0.071,0.02,0.016,0.113,overground,SUN
910GHROW,910GBARKING,0.045,0.009,0,0,0,0,0.054,overground,MTT
910GKENOLYM,910GBARKING,0,0,0.035,0,0,0,0.035,overground,SUN
910GKENOLYM,910GBARKING,0,0.143,0,0,0.926,0.365,1434,overground,MTT
910GKENR,910GBARKING,0,0,0.20899999,2549,1336,0.616,473499999,overground,SUN
910GKENR,910GBARKING,0.049000002,3117,2823,5315,2797,0.156,14257,overground,MTT
910GKEWGRDN,910GBARKING,0,0,0,0,0,0,0.013,overground,SUN
910GKEWGRDN,910GBARKING,0.028,0.023,0.026,0,0.004,0.021,0.102,overground,MTT
910GKNTSHTW,910GBARKING,0,0,0,0.585,0.385,0.133,1285,overground,SUN
910GKNTSHTW,910GBARKING,0,0.378,1745,5.05,2261,0.322,9756,overground,MTT
910GLEYTNMR,910GBARKING,0,0,21465,150.3,77908,44.25,311141,overground,SUN
910GLEYTNMR,910GBARKING,59557,156828,162596,167779,55.85,13023,615633,overground,MTT
910GLYTNSHR,910GBARKING,0,0,63719997,68806,29703,22876,134023,overground,SUN
910GLYTNSHR,910GBARKING,28133,72128,56767,70057,23109,4586,254.78,overground,MTT
910GNWEMBLY,910GBARKING,0,0,0.16,0.038,0.027,0.006,0.231,overground,SUN
910GNWEMBLY,910GBARKING,0.049,0.063,0,0,0,0,0.112,overground,MTT
910GRICHMND,910GBARKING,0,0,0,0,0,0.018,0.018,overground,SUN
910GRICHMND,910GBARKING,0.106,0.23400001,0.037,0,0.042,0.024,0.44300001,overground,MTT
910GSACTON,910GBARKING,0,0,0,0.361,1.34,0.389,2.09,overground,SUN
910GSACTON,910GBARKING,0.199,1727,1245,2181,1118,0.027,6497,overground,MTT
910GSBURY,910GBARKING,0,0,0.205,1027,0.211,0.143,1625,overground,SUN
910GSBURY,910GBARKING,0.345,0.625,3896,2265,1241,0.088,8.46,overground,MTT
910GSHPDSB,910GBARKING,0,0,0.057,1305,0.805,0,2167,overground,SUN
910GSHPDSB,910GBARKING,0.167,0.185,0.129,0.356,0.478,0.049999997,1364999997,overground,MTT
910GSIVRST,910GBARKING,0,0,0.56,3308,1359,1317,6.59,overground,SUN
910GSIVRST,910GBARKING,1086,6239,8281,17.53,4932,0.482,38.55,overground,MTT
910GSTKNWNG,910GBARKING,0,0,0.026,0.164,0.1,0.044,0.391,overground,SUN
910GSTKNWNG,910GBARKING,0,0.015,0,0,0.008,0.030000001,0.053000001,overground,MTT
