Day-id_o_id_d;Early;Morning;AM Peak;Midday;PM Peak;Evening;Late;Night;Total
FRI-3_11;1.465;9.109;17.622;0.956;0.288;0;0;0;29.44
SUN-3_12;0.052;0.929;12.8;6.507;0.76600003;0.476;0;0;21.53000003
SAT-3_12;0.596;1.054;10.1310005;10.349;5.477;0.839;0;0;28.4460005
MTT-3_12;0.97400004;6.117;27.399;9.589;7.698;1.87;0;0;53.64700004
FRI-3_12;0.24599999;5.3450003;25.19;12.184999;3.837;2.4;0;0;49.20299929
SUN-3_13;0;3.008;2.741;0.404;0;0;0;0;6.153
SAT-3_13;0.813;2.846;2.613;2.044;0.482;0.708;0;0;9.506
MTT-3_13;0;1.577;2.775;3.083;3.064;0.31800002;0;0;10.81700002
FRI-3_13;1.53;5.468;1.007;4.096;1.004;0;0;0;13.105
SUN-3_14;0;2.239;1.398;2.076;1.23;0;0;0;6.943
SAT-3_14;0.602;2.708;2.113;2.172;1.067;0.457;0;0;9.119
MTT-3_14;0.727;9.821;6.87;4.568;1.339;0;0;0;23.325
FRI-3_14;1.121;8.7369995;4.526;5.246;1.018;0.81700003;0;0;21.46499953
SUN-3_15;0;1.568;8.099;5.191;1.383;0.648;0;0;16.889
SAT-3_15;0.7;2.15;8.784;4.659;2.244;0.707;0;0;19.244
MTT-3_15;5.7599998;11.063;5.1670003;2.895;0.462;0.428;0;0;25.7750001
FRI-3_15;4.107;11.922;4.463;4.04;3.914;0.884;0;0;29.33
SUN-3_17;0;5.138;39.521;14.956;0.642;0.685;0;0;60.942
SAT-3_17;1.174;6.902;31.001;16.913;8.086;0.528;0;0;64.604
MTT-3_17;0.338;3.639;27.638;17.239;13.13;1.592;0;0;63.576
FRI-3_17;1.142;4.031;26.759;18.789;10.258;2.093;0;0;63.072
SUN-3_18;0.158;0.096;0.885;0.229;0;0;0;0;1.368
SAT-3_18;0.146;1.275;0.639;0.53;0.082;0;0;0;2.672
MTT-3_18;0.86;0.523;1.299;0.657;0.575;0;0;0;3.914
FRI-3_18;0.502;0.987;1.132;0.803;0.175;0;0;0;3.599
SAT-3_19;0.935;4.143;4.442;5.886;0;0;0;0;15.406
MTT-3_19;3.695;13.293;1.709;1.1340001;0.658;0;0;0;20.4890001
FRI-3_19;3.35;10.035;1.84;2.434;0.736;0;0;0;18.395
SUN-3_20;0;0.745;1.53;0.437;0.943;0;0;0;3.655
SAT-3_20;0;0;1.635;0.693;0;0.25;0;0;2.578
MTT-3_20;0.403;3.991;1.834;2.709;0.441;0;0;0;9.378
FRI-3_20;0.602;5.728;1.582;2.166;0;0;0;0;10.078
SAT-3_21;0;0;1.8840001;0.439;0.232;0;0;0;2.5550001
SUN-3_22;0;5.321;16.593;3.498;0.916;0.005;0;0;26.333
SAT-3_22;0;4.683;12.802;2.974;1.5239999;0.544;0;0;22.5269999
MTT-3_22;3.295;13.192;11.274;2.082;1.379;0.35300002;0;0;31.57500002
FRI-3_22;5.517;6.8;10.997;1.979;2.043;0.72;0;0;28.056
SUN-3_23;0.269;5.614;16.911;6.482;2.053;0.589;0;0;31.918
SAT-3_23;4.735;7.757;12.648;8.379;1.996;0.287;0;0;35.802
MTT-3_23;8.452;19.331;8.457;18.193;2.612;0.588;0;0;57.633
FRI-3_23;6.784;20.527;13.561;13.444;3.092;1.173;0;0;58.581
SUN-3_24;0.821;8.773;17.614;9.573;3.654;2.412;0;0;42.847
SAT-3_24;5.213;13.494;28.715;8.557;11.662;5.932;0;0;73.573
MTT-3_24;13.627;46.216;24.926;21.493;9.038;4.811;0;0;120.111
FRI-3_24;11.286;55.231;29.428;18.221;8.409;5.089;0;0;127.664
SUN-3_25;0;0.136;1.095;1.311;0;0;0;0;2.542
FRI-3_25;0.345;0.456;2.826;1.464;1.098;0;0;0;6.189
SAT-3_26;0;0.399;1.656;1.808;0.38;0;0;0;4.243
MTT-3_26;0;1.839;1.055;0.535;0.225;0.451;0;0;4.105
SUN-3_27;0;0.293;4.117;3.307;0.596;0;0;0;8.313
SAT-3_27;0.483;0.681;4.114;2.272;1.357;0;0;0;8.907
MTT-3_27;0.475;1.186;2.043;2.522;2.42;0.382;0;0;9.028
FRI-3_27;0.549;1.891;1.997;3.318;1.258;0;0;0;9.013
SUN-3_28;2.9120002;5.743;33.751;10.044001;10.796;0.732;0;0;63.9780012
SAT-3_28;8.713;7.797;33.497;16.782999;15.475;5.3780003;0;0;87.6429993
