,Tube Line,From Station,To Station,Distance km
461,Northern,kentish-town,tufnell-park,0.739831649
462,Northern,kings-cross-st-pancras,euston,0.677416528
463,Northern,leicester-square,tottenham-court-road,0.58212228
464,Northern,london-bridge,bank,0.986688311
465,Northern,moorgate,old-street,0.800504047
466,Northern,morden,south-wimbledon,1.478961167
467,Northern,mornington-crescent,camden-town,0.674382535
468,Northern,nine-elms,battersea-power-station,0.936893791
469,Northern,old-street,angel,1.489732525
470,Northern,oval,kennington,0.9883608
471,Northern,south-wimbledon,colliers-wood,1.078385712
472,Northern,stockwell,oval,1.222619252
473,Northern,tooting-bec,balham,0.950766197
474,Northern,tooting-broadway,tooting-bec,1.159233924
475,Northern,tottenham-court-road,goodge-street,0.552497315
476,Northern,totteridge-and-whetstone,high-barnet,2.594838962
477,Northern,tufnell-park,archway,1.022782021
478,Northern,warren-street,euston,0.570301672
479,Northern,waterloo,embankment,0.782531067
480,Northern,west-finchley,woodside-park,0.987120036
481,Northern,woodside-park,totteridge-and-whetstone,1.439252227
482,Overground,acton-central,willesden-junction,2.940073906
483,Overground,anerley,norwood-junction,1.866776598
484,Overground,bethnal-green,cambridge-heath,0.555783021
485,Overground,blackhorse-road,walthamstow-queens-road,1.187926423
486,Overground,brockley,honor-oak-park,1.630102649
487,Overground,brondesbury,west-hampstead,0.84666921
488,Overground,brondesbury-park,brondesbury,0.761938922
489,Overground,bruce-grove,white-hart-lane,1.226577178
490,Overground,bush-hill-park,enfield-town,1.357212673
491,Overground,bushey,carpenders-park,1.932179379
492,Overground,caledonian-road-and-barnsbury,highbury-and-islington,0.848255489
493,Overground,cambridge-heath,london-fields,0.963760029
494,Overground,camden-road,caledonian-road-and-barnsbury,1.667777314
495,Overground,canada-water,surrey-quays,0.590544341
496,Overground,canonbury,dalston-junction,1.238137036
497,Overground,canonbury,dalston-kingsland,1.131974828
498,Overground,carpenders-park,hatch-end,2.343495895
499,Overground,clapham-high-street,wandsworth-road,0.697871259
500,Overground,clapton,st-james-street,2.71980202
501,Overground,crouch-hill,harringay-green-lanes,1.459051014
502,Overground,dalston-junction,haggerston,0.825148488
503,Overground,dalston-kingsland,hackney-central,1.436069534
504,Overground,denmark-hill,clapham-high-street,2.890032902
505,Overground,edmonton-green,bush-hill-park,1.895318371
506,Overground,edmonton-green,southbury,2.661601965
507,Overground,emerson-park,upminster,2.444007562
508,Overground,finchley-road-and-frognal,hampstead-heath,1.435837735
509,Overground,forest-hill,sydenham,1.336678466
510,Overground,gospel-oak,kentish-town-west,1.034126768
511,Overground,gospel-oak,upper-holloway,1.786205822
512,Overground,gunnersbury,south-acton,0.935145753
513,Overground,hackney-central,homerton,1.183535331
514,Overground,hackney-downs,clapton,1.401823658
515,Overground,hackney-downs,rectory-road,1.217475735
516,Overground,hackney-wick,stratford,1.502262812
517,Overground,haggerston,hoxton,0.811212533
518,Overground,hampstead-heath,gospel-oak,0.917677577
519,Overground,harlesden,willesden-junction,1.04118872
520,Overground,harringay-green-lanes,south-tottenham,1.857824417
521,Overground,harrow-and-wealdstone,kenton,1.804055394
522,Overground,hatch-end,headstone-lane,1.176071674
523,Overground,headstone-lane,harrow-and-wealdstone,1.914159696
524,Overground,highams-park,chingford,2.848380105
525,Overground,highbury-and-islington,canonbury,0.817975592
526,Overground,homerton,hackney-wick,0.977006884
527,Overground,honor-oak-park,forest-hill,1.412651921
528,Overground,hoxton,shoreditch-high-street,0.887578516
529,Overground,imperial-wharf,clapham-junction,1.461392567
530,Overground,kensal-green,queens-park,1.440983449
531,Overground,kensal-rise,brondesbury-park,0.987108954
532,Overground,kensington-olympia,west-brompton,1.55997417
533,Overground,kentish-town-west,camden-road,0.738867635
534,Overground,kenton,south-kenton,1.261209207
535,Overground,kew-gardens,gunnersbury,1.819936138
