mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,8,mode
6883,6886,0.019,12.322,64.487,18.223,10.533,3.027,0.0,EZL
6883,6888,0.143,1.025,3.3240001,0.882,0.384,0.036,0.0,EZL
6883,6893,0.0,3.803,14.942,11.381,8.128,1.357,0.0,EZL
6883,6965,35.309002,126.65,270.052,93.459,41.385002,17.349,0.0,EZL
6883,6970,0.102,10.292,22.897,8.136,3.2319999,0.84,0.0,EZL
6886,719,111.179,245.798,686.176,302.673,122.37,24.576,0.0,EZL
6886,6872,0.0,13.439,44.454998,35.349,17.173,4.955,0.072,EZL
6886,6874,0.26999998,6.1289997,63.690998,40.239002,14.177,5.055,0.0,EZL
6886,6876,1.0139999,6.343,44.11,21.803999,11.858,3.552,0.0,EZL
6886,6877,0.0,2.323,26.208,14.731,5.557,2.577,0.142,EZL
6886,6878,0.417,7.552,54.388,29.105,11.159,3.42,0.0,EZL
6886,6879,0.0,3.29,57.322,29.568,11.919,6.19,0.124,EZL
6886,6881,2.795,20.031,110.232,63.843,24.299,5.9890003,0.0,EZL
6886,6883,0.0,10.658,49.486,29.238,15.002,2.828,0.0,EZL
6886,6888,0.0,4.561,10.998,7.459,3.499,0.795,0.113,EZL
6886,6893,0.568,4.549,32.499,24.035,8.003,2.574,0.0,EZL
6886,6965,69.532,138.886,353.657,137.634,67.592,19.171,0.0,EZL
6886,6970,0.194,5.131,24.682,10.413,6.439,2.712,0.0,EZL
6888,719,4.129,10.354,0.622,1.363,0.767,1.678,0.0,EZL
6888,6872,0.226,3.024,11.698,5.51,3.256,0.175,0.0,EZL
6888,6874,0.077999994,1.356,3.059,2.573,3.7979999,0.188,0.0,EZL
6888,6876,0.234,0.466,2.194,0.98300004,1.047,0.157,0.0,EZL
6888,6877,0.0,1.279,3.977,1.75,1.112,0.15900001,0.0,EZL
6888,6878,0.0,0.65,2.124,1.729,0.759,0.357,0.0,EZL
6888,6879,0.029,0.871,4.416,2.138,1.3889999,0.522,0.0,EZL
6888,6881,0.069,0.34,4.659,2.287,1.387,0.04,0.0,EZL
6888,6883,0.0,0.486,2.8339999,1.118,0.59499997,0.141,0.0,EZL
6888,6886,0.031,2.942,12.433,4.022,3.8240001,0.37,0.0,EZL
6888,6893,0.65,0.788,1.701,1.128,0.198,0.0,0.0,EZL
6888,6965,2.493,12.756,24.074,8.967,6.557,3.119,0.0,EZL
6888,6970,0.0,0.0,0.408,0.717,0.197,0.061,0.0,EZL
6893,719,101.027,397.661,876.904,236.247,102.241,28.987,0.0,EZL
6893,6872,0.034,3.011,4.213,1.6489999,1.699,0.017,0.0,EZL
6893,6874,0.0,1.337,7.481,3.0,1.455,0.526,0.0,EZL
6893,6876,1.136,9.179,29.766,11.224,5.53,0.772,0.0,EZL
6893,6877,0.029,3.312,3.911,2.989,1.1159999,0.326,0.0,EZL
6893,6878,0.0,1.307,7.104,2.349,1.314,0.242,0.0,EZL
6893,6879,0.044,1.678,6.44,1.998,1.482,0.36,0.0,EZL
6893,6881,1.279,13.652,107.963,17.82,9.138,2.873,0.0,EZL
6893,6883,0.0,4.739,23.404,8.597,4.064,1.242,0.0,EZL
6893,6886,0.04,10.614,51.877,8.971,3.942,1.303,0.0,EZL
6893,6888,0.0,0.875,2.383,0.467,0.338,0.139,0.0,EZL
6893,6965,35.27,108.998,210.96,77.426,38.563,11.952,0.0,EZL
6893,6970,1.099,2.964,18.635,4.5230002,3.732,0.784,0.0,EZL
6965,719,14.228,78.179,530.186,359.438,200.38,164.922,0.0,EZL
6965,6872,1.035,23.578001,121.103,107.493,88.183,34.187,0.0,EZL
6965,6874,1.5289999,61.351,243.73201,238.017,175.286,92.416,0.0,EZL
6965,6876,3.764,47.6,274.108,257.395,197.591,103.638,0.0,EZL
6965,6877,0.677,22.491,172.076,185.315,130.405,55.585,0.0,EZL
6965,6878,3.154,49.62,160.647,159.852,143.683,79.088,0.0,EZL
6965,6879,0.885,31.528,152.028,160.806,120.896,59.88,0.0,EZL
6965,6881,8.469,110.775,475.575,393.786,330.81302,155.895,0.0,EZL
6965,6883,0.0,42.979,199.12,207.902,142.0,86.786,0.0,EZL
6965,6886,0.592,71.198,413.867,321.901,248.186,94.302,0.0,EZL
6965,6888,11.797,10.368,23.890999,11.695,15.371,10.801,0.0,EZL
6965,6893,0.095,71.69,142.81,185.105,152.411,76.499,0.0,EZL
6965,6970,2.5,18.001,96.203,111.865,81.489,58.276,0.0,EZL
6970,719,16.566,100.202,261.674,105.221,47.795002,9.778,0.0,EZL
6970,6872,0.031,1.362,3.686,1.854,1.194,0.61800003,0.0,EZL
6970,6874,0.79800004,5.338,15.3810005,7.5,8.906,1.28,0.0,EZL
6970,6876,0.097,1.809,11.868,4.194,3.059,1.009,0.0,EZL
6970,6877,0.0,2.394,5.738,1.841,2.154,1.315,0.0,EZL
6970,6878,0.45599997,2.838,13.725,7.605,5.896,3.53,0.0,EZL
6970,6879,0.12799999,3.477,4.705,1.71,1.164,0.311,0.0,EZL
6970,6881,0.484,7.652,44.522,19.878,11.83,3.5939999,0.0,EZL
6970,6883,0.0,3.023,14.004,9.048,7.2990003,0.846,0.0,EZL
6970,6886,0.157,8.157,25.825,12.227,7.066,1.74,0.0,EZL
6970,6888,0.0,0.18100001,1.122,0.343,0.0,0.0,0.0,EZL
6970,6893,0.0,4.179,12.212,8.698,5.121,1.391,0.0,EZL
6970,6965,18.501999,74.51,175.358,60.485,34.421,16.186,0.0,EZL
7090,560,0.382,9.769,40.105,26.365,33.838,15.261,0.0,EZL
7090,3087,0.622,55.231,141.743,66.528,89.338,46.733,0.0,EZL
7090,3186,0.001,1.761,8.098,3.674,6.125,2.566,0.0,EZL
7090,3187,0.015000001,0.71500003,16.235,3.808,5.148,4.747,0.0,EZL
7090,7091,33.467,104.187996,219.857,111.763,87.586,27.466,0.0,EZL
7091,560,18.14,47.108,58.058,39.989,39.217,16.438,0.0,EZL
7091,3087,13.902,222.11299,387.707,241.399,170.525,83.609,0.0,EZL
7091,3186,1.5680001,7.798,23.967,5.371,6.671,3.5600002,0.0,EZL
7091,3187,0.007,3.2129998,18.1,5.452,5.968,5.517,0.0,EZL
7091,7090,65.795,160.837,231.33301,119.032,67.095,13.598001,0.0,EZL
