mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
719,879,40.338,219.387,288.379,97.177,32.001,10.842,DLR
719,882,3.0440001,7.266,12.504,0.164,0.872,0.305,DLR
719,883,6.473,20.649,18.956,0.345,0.30200002,0.118,DLR
719,884,9.787,11.884,45.422,33.392,34.828,20.787,DLR
719,886,4.348,0.975,1.799,0.0,0.275,0.408,DLR
719,887,1.312,0.611,1.767,0.0,0.039,0.141,DLR
719,888,0.987,0.552,1.608,0.0,0.362,0.081,DLR
719,889,180.239,379.406,238.274,249.709,122.672,60.581,DLR
719,890,2.303,1.045,1.192,0.0,0.001,0.282,DLR
719,891,0.92300004,0.001,0.01,0.0,0.0,0.0,DLR
719,893,0.603,2.826,2.237,0.0,0.029,0.113000005,DLR
719,894,3.731,0.331,0.484,0.0,0.04,0.18,DLR
719,895,2.01,0.43400002,1.051,0.0,0.0,0.142,DLR
719,897,39.212,62.905,86.511,76.173,37.308,13.801,DLR
719,898,43.722,22.55,29.512001,31.299,16.852,7.86,DLR
719,928,7.875,25.82,22.181,13.484,6.272,2.092,DLR
719,940,125.19,290.103,288.802,494.369,126.103004,45.523,DLR
749,504,3.3040001,23.997,59.507,40.211998,19.614,5.304,DLR
749,523,1.01,8.761,13.56,5.815,6.545,1.103,DLR
749,533,8.002,14.3810005,23.288,11.531,6.441,0.91499996,DLR
749,538,3.25,9.797,13.039,9.207,6.243,1.641,DLR
749,559,3.073,9.0390005,17.832,9.779,7.217,4.075,DLR
749,573,24.796,42.985,83.062,132.871,35.109,19.586,DLR
749,719,8.631,84.131,85.886,85.015,31.861,12.284,DLR
749,750,1.4,3.74,16.773,12.077,5.36,0.825,DLR
749,757,11.663,78.544,146.687,170.571,48.591,16.69,DLR
749,860,0.0,3.025,4.289,1.243,1.277,0.0,DLR
749,864,0.555,1.52,0.99,1.457,0.411,0.504,DLR
749,865,0.601,2.894,5.063,1.4070001,0.092,0.953,DLR
749,883,0.995,4.271,4.911,2.842,0.698,1.808,DLR
749,884,0.99,18.442,42.359,16.864,20.085001,4.521,DLR
749,886,0.0,2.343,5.3,2.727,4.117,1.778,DLR
749,887,0.0,4.074,3.885,1.911,0.089,0.0,DLR
749,888,0.268,3.0,3.1560001,2.134,1.757,0.0,DLR
749,889,5.198,10.512,29.141,14.799,11.286,5.789,DLR
749,890,0.0,4.619,4.402,3.6100001,0.061,0.0,DLR
749,893,0.66499996,5.719,8.839,2.712,1.602,0.568,DLR
749,894,0.395,3.721,2.384,2.789,1.593,1.327,DLR
749,895,0.0,1.751,4.173,3.353,4.194,0.68299997,DLR
750,504,4.421,31.226,47.133,22.834,14.144,2.718,DLR
750,513,0.662,0.249,0.0,0.454,0.0,0.0,DLR
750,523,0.981,3.978,6.424,5.423,0.451,4.8380003,DLR
750,533,1.8840001,4.785,4.154,5.583,2.421,2.636,DLR
750,538,0.825,11.656,2.437,1.469,0.97800004,0.376,DLR
750,559,0.4,2.788,4.103,2.404,1.4629999,0.46,DLR
750,573,11.879,37.523,18.141,22.282,7.208,2.984,DLR
750,719,71.154,274.154,354.133,240.694,88.151,40.235,DLR
750,749,0.0,9.357,18.572,7.289,3.697,3.089,DLR
750,757,29.379,114.795,77.703,73.053,18.664,6.335,DLR
750,853,1.584,7.025,1.469,3.067,0.0,0.0,DLR
750,854,0.0,3.811,1.391,0.774,0.342,0.004,DLR
750,860,0.747,1.727,3.117,2.88,1.28,0.0,DLR
750,861,0.52,6.211,0.546,0.47300002,0.0,0.0,DLR
750,862,11.943,1.99,3.294,0.927,0.716,0.0,DLR
750,865,1.365,5.085,3.688,1.801,1.682,0.0,DLR
750,879,0.34399998,1.714,4.389,0.536,0.325,0.0,DLR
750,884,15.703,35.121,78.111,10.922,20.937,11.161,DLR
750,887,0.171,1.014,0.281,2.85,3.5180001,0.0,DLR
750,888,0.295,1.962,1.882,3.064,0.0,0.0,DLR
750,889,2.621,5.778,6.425,4.36,2.8140001,0.583,DLR
750,890,0.0,2.027,4.585,0.849,0.451,0.0,DLR
750,893,0.0,4.28,1.963,0.0,0.405,0.0,DLR
750,940,1.469,1.632,7.887,1.3180001,1.562,0.0,DLR
757,504,70.712,275.817,184.889,162.006,77.002,31.378,DLR
757,523,26.559,44.883,40.259,46.424,17.69,10.126,DLR
757,533,38.045,71.946,129.199,97.562,26.11,6.838,DLR
757,538,26.865,127.561,51.467,57.502,33.137,15.144,DLR
757,559,47.254,140.071,53.986,47.075,18.887,13.686,DLR
757,573,343.396,521.604,413.247,404.368,216.809,93.836,DLR
757,719,151.125,69.512,199.15,140.108,56.867,12.556,DLR
757,749,49.549,243.497,99.599,82.855,38.026,13.0130005,DLR
757,750,12.959,55.266,76.564,107.342,35.869,12.746,DLR
757,842,0.469,0.094,0.095,0.472,0.0,0.0,DLR
757,850,0.321,0.573,0.842,0.032,0.074,0.018,DLR
757,853,6.079,4.131,1.575,0.074,0.114,0.148,DLR
757,854,0.412,0.186,0.0,0.0,0.0,0.0,DLR
757,856,0.196,0.179,0.0,0.0,0.0,0.0,DLR
757,857,0.01,0.031,0.0,0.0,0.0,0.0,DLR
757,858,0.426,1.354,1.501,2.433,0.824,0.623,DLR
757,859,1.697,2.712,0.244,0.019000001,0.01,0.020000001,DLR
757,860,0.0,0.0,0.042999998,0.0,0.0,0.067999996,DLR
757,861,0.326,0.49,0.0,0.0,0.0,0.0,DLR
757,862,0.054,0.341,0.442,0.874,0.141,0.042999998,DLR
757,865,0.0,0.311,0.638,0.061,0.23699999,0.064,DLR
757,866,0.162,0.057,0.138,0.0,0.0,0.0,DLR
757,879,0.337,0.23300001,0.0,0.0,0.0,0.0,DLR
757,882,0.0,2.056,1.179,0.241,0.356,0.253,DLR
757,883,0.17899999,6.634,5.998,0.96,1.852,1.019,DLR
757,884,2.585,5.329,10.905,6.673,9.093,8.803,DLR
757,886,0.135,0.028,0.0,0.0,0.0,0.0,DLR
757,887,0.019,0.063,0.0,0.0,0.0,0.0,DLR
757,888,0.38300002,0.033,0.0,0.0,0.0,0.0,DLR
757,889,100.215004,218.959,119.118004,125.846,49.009,33.289,DLR
757,890,0.267,0.072000004,0.0,0.0,0.0,0.0,DLR
757,893,0.001,0.16600001,0.0,0.0,0.0,0.0,DLR
757,894,0.356,0.0,0.0,0.0,0.0,0.0,DLR
757,895,0.025,0.009,0.0,0.0,0.0,0.0,DLR
757,897,2.06,0.189,0.0,0.0,0.0,0.0,DLR
757,928,0.01,0.047,0.0,0.0,0.0,0.0,DLR
757,940,0.941,1.159,0.0,0.0,0.0,0.0,DLR
842,504,1.819,14.682,11.650001,52.944,18.554,3.735,DLR
842,513,62.307,2258.487,1495.487,2006.795,562.45703,107.815,DLR
842,523,2.332,5.208,6.932,7.157,4.03,1.418,DLR
842,533,7.024,12.6,42.44,50.59,6.301,0.755,DLR
842,538,1.745,3.62,15.264,38.291,30.905,5.467,DLR
842,559,0.0,9.62,11.632,19.183,12.969,2.694,DLR
842,573,14.045,35.297,50.787,68.795,54.851,25.544,DLR
842,719,44.676,312.298,426.231,1547.998,374.06702,88.654,DLR
842,750,0.0,1.605,1.591,6.241,1.786,0.0,DLR
842,757,0.0,0.192,0.026,0.024,0.30699998,0.236,DLR
842,842,0.0,0.0,0.009,0.0,0.0,0.0,DLR
842,850,1.409,97.28,141.897,114.713,64.52,28.304,DLR
842,851,22.978,111.101,122.279,213.239,101.946,35.84,DLR
842,853,47.518,260.666,272.516,197.492,113.353,36.664,DLR
842,854,2.889,82.07,180.677,127.11,108.083,40.299,DLR
842,855,8.044,65.891,32.79,25.809,12.122,8.846,DLR
842,856,5.608,83.174,83.341,85.786,73.952,28.035,DLR
842,857,0.98399997,32.685,51.002,87.407,56.946,18.064,DLR
842,858,0.0,24.493,117.963,69.090996,43.637,13.505,DLR
842,859,1.373,18.316,18.864,44.797,17.018,7.31,DLR
